,V1,V2,V4,TEO,9/46d,F5,8m,7A,DP,2,5,7B,STPr,STPi,STPc,PBr,TEpd,24c,F1,F2,F7,ProM,8l,9/46v,46d,8B,10,MT,7m
1,0,0,0,2.57e-05,0,2.48e-03,0,0,0,9.26e-03,2.51e-03,0,0,0,0,0,0,2.77e-05,1.22e-03,0,1.13e-05,2.25e-05,0,0,0,0,0,2.98e-06,1.55e-04
3,0,0,0,1.22e-04,0,1.05e-02,2.45e-05,0,0,2.40e-01,3.21e-02,0,0,0,0,0,5.01e-06,5.26e-04,9.93e-03,5.80e-03,1.13e-04,1.13e-04,2.45e-04,3.51e-05,2.91e-05,0,0,0,2.98e-05
23,0,0,0,1.28e-05,8.22e-03,1.46e-04,2.58e-04,9.21e-02,2.02e-03,0,8.86e-02,5.46e-03,5.48e-04,4.62e-04,3.09e-03,1.26e-02,7.52e-06,2.40e-02,3.21e-02,8.35e-02,3.04e-02,0,7.56e-04,1.18e-02,1.38e-02,6.53e-03,2.77e-03,1.13e-04,9.12e-02
24a,0,0,0,7.70e-05,6.30e-04,7.56e-04,7.11e-04,9.03e-05,0,0,6.28e-05,0,8.45e-04,0,0,1.23e-03,2.71e-04,4.36e-03,0,3.15e-04,1.08e-02,2.13e-03,4.17e-03,1.63e-02,1.83e-04,2.54e-03,4.33e-04,1.04e-05,1.10e-03
24b,0,0,0,3.85e-05,5.17e-04,1.32e-04,1.02e-03,5.87e-03,9.06e-04,5.69e-05,1.26e-02,1.91e-03,1.29e-03,0,4.57e-04,1.03e-03,3.51e-05,1.18e-01,4.24e-03,2.13e-02,6.48e-02,3.94e-05,2.32e-03,2.77e-03,3.32e-05,8.14e-03,4.41e-03,4.47e-06,1.01e-02
24d,0,0,0,1.92e-05,5.52e-04,5.02e-04,3.68e-04,0,0,7.96e-05,6.03e-03,1.67e-03,0,4.30e-05,0,2.24e-05,0,1.02e-01,2.08e-02,1.35e-01,1.78e-02,1.18e-04,1.05e-03,1.14e-03,1.66e-05,1.39e-04,1.37e-05,0,9.13e-03
46v,0,0,0,3.85e-05,9.69e-02,1.12e-04,3.37e-02,1.45e-04,8.35e-05,0,0,6.76e-04,8.70e-03,2.47e-03,2.99e-03,8.53e-04,4.09e-04,2.31e-03,0,4.55e-04,1.48e-02,3.15e-04,1.11e-02,3.01e-01,5.84e-02,3.92e-02,2.95e-02,0,5.78e-03
45A,0,0,0,1.92e-05,2.01e-02,2.93e-05,2.63e-02,1.35e-03,1.59e-05,0,0,0,2.11e-03,3.87e-04,1.38e-05,3.69e-04,9.42e-04,0,0,0,3.47e-02,0,1.25e-02,5.70e-02,1.44e-03,2.78e-04,3.24e-03,2.98e-06,0
44,0,0,0,1.28e-05,9.49e-03,2.86e-03,1.58e-02,0,0,5.69e-04,0,2.72e-03,1.11e-04,0,0,0,2.76e-05,1.60e-02,4.05e-04,6.83e-04,1.03e-02,1.13e-02,1.93e-02,8.16e-02,8.30e-05,5.41e-05,5.49e-05,0,1.67e-04
11,0,0,0,1.28e-05,2.57e-04,1.51e-04,1.84e-04,0,0,0,0,0,4.53e-03,3.22e-04,0,6.82e-04,3.51e-05,4.15e-05,0,0,2.71e-04,5.63e-05,5.41e-04,6.02e-02,2.63e-03,1.27e-02,5.91e-03,0,2.98e-05
12,0,0,0,2.37e-04,7.20e-03,1.22e-02,7.14e-03,6.32e-05,3.97e-06,6.17e-03,1.26e-04,1.01e-03,1.70e-02,6.07e-03,4.08e-03,7.80e-03,1.82e-03,2.08e-02,0,1.23e-04,1.24e-02,1.33e-01,2.12e-02,9.71e-02,3.54e-03,2.24e-02,6.11e-02,0,4.17e-05
Prostriate,0,0,0,0,2.10e-04,0,0,0,2.31e-04,0,0,0,9.64e-05,7.52e-05,1.94e-04,6.21e-03,5.01e-05,0,0,0,0,0,0,0,0,0,4.67e-04,8.93e-06,1.61e-04
Gu,0,0,0,0,2.33e-05,1.04e-02,9.81e-05,0,0,7.76e-03,0,0,5.28e-06,4.30e-05,0,0,0,0,0,0,0,1.61e-01,1.32e-03,1.52e-04,0,0,0,0,0
S2,0,0,0,0,1.05e-04,5.88e-02,8.95e-04,0,0,3.80e-01,0,5.32e-02,0,0,0,0,4.94e-04,2.80e-03,0,5.25e-05,2.26e-05,2.47e-01,1.31e-03,2.26e-02,0,7.73e-06,0,2.98e-06,0
29_30,0,0,0,0,5.44e-03,1.46e-05,1.23e-04,3.64e-02,3.97e-04,0,2.95e-03,0,1.91e-04,4.30e-05,3.32e-04,7.86e-03,0,4.15e-05,4.50e-05,0,0,0,2.45e-04,6.85e-03,2.47e-03,5.37e-04,1.35e-03,1.79e-05,5.65e-03
31,0,0,0,0,2.73e-02,0,3.68e-05,7.33e-02,2.15e-03,2.84e-05,2.01e-03,0,0,0,1.74e-03,1.79e-03,0,3.18e-04,0,1.05e-04,4.84e-03,0,7.15e-05,3.51e-05,1.01e-03,7.07e-04,2.06e-04,0,2.68e-02
32,0,0,0,0,3.11e-05,3.90e-05,2.94e-04,0,0,0,0,0,1.56e-03,3.44e-04,0,2.60e-03,0,1.94e-03,0,0,2.49e-04,0,1.02e-04,9.07e-05,1.59e-03,3.40e-02,8.12e-02,2.98e-06,3.57e-05
F3,0,0,0,0,3.58e-04,3.14e-02,2.33e-04,4.97e-04,0,5.74e-04,4.46e-02,1.17e-03,0,0,0,0,0,1.15e-01,2.30e-01,3.40e-01,1.01e-02,1.57e-03,2.25e-04,1.24e-03,1.66e-05,0,6.87e-06,0,1.67e-03
F6,0,0,0,0,9.66e-03,3.41e-05,1.28e-03,0,0,0,3.52e-03,0,0,8.60e-05,1.38e-05,2.24e-05,1.50e-05,2.62e-01,7.80e-03,7.54e-02,2.42e-01,0,2.33e-03,9.18e-03,3.32e-03,6.55e-02,8.93e-05,0,1.90e-03
F4,0,0,0,0,8.89e-03,5.00e-01,3.86e-02,0,1.59e-05,1.11e-01,0,1.19e-02,5.28e-06,0,0,0,0,3.07e-03,2.94e-02,4.23e-03,2.72e-03,3.26e-03,5.42e-03,1.47e-02,3.32e-05,3.09e-05,6.87e-06,2.08e-05,0
9,0,0,0,0,2.44e-02,4.88e-05,2.16e-03,5.42e-05,1.59e-05,0,0,0,1.66e-03,4.73e-04,2.77e-05,1.23e-03,0,1.33e-02,4.50e-05,0,1.16e-01,2.25e-05,2.57e-03,5.47e-04,1.17e-01,1.76e-01,1.55e-01,0,4.82e-04
OPRO,0,0,0,0,1.30e-03,7.96e-03,2.21e-04,0,0,7.63e-03,0,0,6.40e-03,4.30e-04,0,3.83e-03,8.02e-05,6.37e-04,0,2.45e-04,1.21e-03,2.82e-02,4.41e-03,6.66e-03,4.82e-04,5.41e-03,2.79e-02,2.98e-06,0
OPAI,0,0,0,0,3.11e-05,2.93e-04,6.13e-05,0,0,2.10e-04,0,0,2.98e-04,0,0,2.50e-03,1.00e-05,0,0,0,0,4.07e-03,5.82e-04,2.93e-04,0,2.63e-04,4.94e-04,0,0
14,0,0,0,0,5.44e-05,1.46e-05,9.81e-05,0,0,0,0,0,1.26e-02,1.36e-02,0,1.34e-04,0,0,0,0,2.26e-05,0,6.13e-05,4.68e-04,2.23e-03,5.54e-03,1.97e-01,0,2.08e-05
13,0,0,0,0,7.00e-04,1.17e-04,3.13e-03,1.81e-05,0,1.76e-04,0,0,1.61e-03,2.15e-04,2.22e-03,2.98e-03,3.41e-04,0,0,7.01e-05,2.67e-03,1.66e-03,3.64e-03,1.48e-02,5.65e-04,1.12e-02,1.09e-02,0,2.38e-05
AIP,0,0,0,0,0,3.37e-03,9.20e-04,0,0,2.44e-03,1.00e-03,2.68e-02,0,0,0,0,0,0,0,5.25e-05,0,4.34e-03,1.02e-04,2.07e-03,0,0,0,0,3.13e-04
Subiculum,0,0,0,0,0,2.93e-05,0,0,7.95e-06,0,0,0,9.83e-04,0,3.53e-04,2.80e-05,0,0,0,0,0,0,2.04e-05,0,0,0,7.55e-05,2.98e-06,0
25,0,0,0,0,0,4.88e-06,0,0,0,0,0,0,6.88e-03,2.71e-03,0,1.09e-03,0,0,0,0,0,0,5.11e-05,0,0,1.55e-04,1.89e-02,0,2.38e-05
Piriform,0,0,0,0,0,0,0,0,0,2.27e-05,0,0,7.40e-05,0,0,2.85e-04,8.02e-05,0,0,0,0,0,9.19e-05,0,0,4.02e-04,0,0,0
